Geneid	PBT2R1	PBT2R2	PBT2R3	Ctrl1	Ctrl2	Ctrl3
gene-KPHS_00010	0	3	2	3	4	4
gene-KPHS_00020	1	2	1	1	1	0
gene-KPHS_00030	12	17	15	13	11	12
gene-KPHS_00040	2	2	1	1	4	2
gene-KPHS_00050	3	5	4	4	5	7
gene-KPHS_00060	0	1	3	3	5	10
gene-KPHS_00070	3	8	5	7	5	6
gene-KPHS_00080	5	1	2	4	6	7
gene-KPHS_00090	1	2	1	0	1	0
gene-KPHS_00100	21	16	18	16	21	24
gene-KPHS_00110	8	4	2	10	6	8
gene-KPHS_00120	4	2	0	1	1	0
gene-KPHS_00130	1	1	3	0	2	2
gene-KPHS_00140	3	4	4	4	3	3
gene-KPHS_00150	0	0	1	1	0	0
gene-KPHS_00160	0	2	1	0	0	2
gene-KPHS_00170	6	10	11	6	3	5
gene-KPHS_00180	7	5	6	5	2	5
gene-KPHS_00190	8	19	11	12	9	14
gene-KPHS_00200	1	0	2	0	2	2
gene-KPHS_00210	10	8	19	10	11	14
gene-KPHS_00220	2	3	3	2	5	2
gene-KPHS_00230	1	1	2	1	1	1
gene-KPHS_00240	5	7	7	10	7	5
gene-KPHS_00250	3	3	2	1	2	1
gene-KPHS_00260	1	0	1	2	1	1
gene-KPHS_00270	33	23	26	16	12	23
gene-KPHS_00280	0	0	0	0	0	0
gene-KPHS_00290	32	39	36	43	39	30
gene-KPHS_00300	7	3	3	6	6	2
gene-KPHS_00310	0	1	2	4	4	1
gene-KPHS_00320	0	2	0	1	0	0
gene-KPHS_00330	8	7	6	6	0	3
gene-KPHS_00340	1	2	1	0	0	2
gene-KPHS_00350	2	2	1	0	1	1
gene-KPHS_00360	1	1	1	4	0	3
gene-KPHS_00370	13	12	7	8	11	7
gene-KPHS_00380	9	7	13	10	12	11
gene-KPHS_00390	19	17	15	12	13	13
gene-KPHS_00400	68	46	42	47	32	56
gene-KPHS_00410	18	27	16	21	16	29
gene-KPHS_00420	0	1	1	1	1	0
gene-KPHS_00430	1	0	1	1	0	0
gene-KPHS_00440	1	0	0	0	1	0
gene-KPHS_00450	0	0	0	1	0	1
gene-KPHS_00460	0	0	1	0	0	0
gene-KPHS_00470	0	0	0	0	0	0
gene-KPHS_00480	0	0	0	0	0	0
gene-KPHS_00490	0	0	0	1	0	0
gene-KPHS_00500	1	0	2	0	1	0
gene-KPHS_00510	0	0	0	0	0	0
gene-KPHS_00520	2	1	1	0	0	0
gene-KPHS_00530	2	4	3	1	1	4
gene-KPHS_00540	4	5	1	2	1	3
gene-KPHS_00550	0	1	0	3	1	2
gene-KPHS_00560	0	2	1	0	0	2
gene-KPHS_00570	0	0	0	0	0	0
gene-KPHS_00580	0	2	3	0	0	1
gene-KPHS_00590	0	0	0	0	0	0
gene-KPHS_00600	0	0	0	0	0	0
gene-KPHS_00610	0	0	0	0	0	0
gene-KPHS_00620	1	0	0	0	0	0
gene-KPHS_00630	0	0	0	0	0	0
gene-KPHS_00640	1	0	0	0	0	0
gene-KPHS_00650	0	0	0	1	0	0
gene-KPHS_00660	0	0	0	0	0	0
gene-KPHS_00670	1	0	0	2	0	0
gene-KPHS_00680	2	0	1	0	0	0
gene-KPHS_00690	154	128	112	132	123	147
gene-KPHS_00700	3	7	2	1	1	2
gene-KPHS_00710	5	8	6	3	9	4
gene-KPHS_00720	16	13	8	17	10	9
gene-KPHS_00730	11	11	4	7	10	9
gene-KPHS_00740	2	1	2	4	0	1
gene-KPHS_00750	38	28	34	36	42	57
gene-KPHS_00760	8	17	19	17	17	24
gene-KPHS_00770	0	1	1	0	0	0
gene-KPHS_00780	24	9	14	30	32	40
gene-KPHS_00790	8	5	2	6	5	5
gene-KPHS_00800	2	1	1	0	1	1
gene-KPHS_00810	6	4	6	5	5	2
gene-KPHS_00820	0	0	1	0	0	0
gene-KPHS_00830	1	1	0	1	0	0
gene-KPHS_00840	32	29	20	43	35	37
gene-KPHS_00850	1	1	3	2	1	4
gene-KPHS_00860	5	4	0	4	2	1
gene-KPHS_00870	3	7	2	2	1	0
gene-KPHS_00880	0	1	0	0	0	0
gene-KPHS_00890	1	2	0	0	0	0
gene-KPHS_00900	0	0	0	0	0	0
gene-KPHS_00910	1	0	2	0	0	0
gene-KPHS_00920	1	6	4	6	1	8
gene-KPHS_00930	0	0	0	2	0	1
gene-KPHS_00940	1	2	1	0	3	3
gene-KPHS_00950	0	0	0	1	0	0
gene-KPHS_00960	1	1	2	3	1	0
gene-KPHS_00970	1	0	2	0	1	0
gene-KPHS_00980	18	15	10	15	11	18
gene-KPHS_00990	5	4	4	1	3	2
gene-KPHS_01000	2	2	2	2	2	2
gene-KPHS_01010	4	3	1	1	0	1
gene-KPHS_01020	1	5	7	7	2	5
gene-KPHS_01030	12	8	10	9	9	9
gene-KPHS_01040	33	29	33	19	19	21
gene-KPHS_01050	8	2	10	4	0	5
gene-KPHS_01060	2	4	3	3	5	2
gene-KPHS_01070	1	2	1	1	4	0
gene-KPHS_01080	0	1	0	0	0	1
gene-KPHS_01090	5	2	1	4	7	4
gene-KPHS_01100	2	1	2	2	2	1
gene-KPHS_01110	16	18	18	14	18	14
gene-KPHS_01120	1	0	0	0	0	1
gene-KPHS_01130	0	0	0	0	0	0
gene-KPHS_01140	5	3	4	4	4	5
gene-KPHS_01150	1	0	0	1	0	0
gene-KPHS_01160	6	7	9	4	9	10
gene-KPHS_01170	2	4	4	3	9	4
gene-KPHS_01180	1	1	0	2	2	3
gene-KPHS_01190	0	1	1	0	2	0
gene-KPHS_01200	11	10	12	17	12	15
gene-KPHS_01210	2	0	1	2	2	4
gene-KPHS_01220	0	0	0	0	0	1
gene-KPHS_01230	5	5	2	4	3	3
gene-KPHS_01240	1	2	0	0	0	1
gene-KPHS_01250	0	1	0	0	0	1
gene-KPHS_01260	1	2	2	0	0	0
gene-KPHS_01270	7	5	3	3	3	6
gene-KPHS_01280	9	16	11	10	6	14
gene-KPHS_01290	28	26	20	34	38	42
gene-KPHS_01300	31	25	25	39	31	47
gene-KPHS_01310	1	2	3	2	2	0
gene-KPHS_01320	5	2	4	1	7	2
gene-KPHS_01330	3	3	2	1	1	3
gene-KPHS_01340	4	1	5	6	2	2
gene-KPHS_01350	1	5	3	2	2	0
gene-KPHS_01360	3	3	4	3	1	0
gene-KPHS_01370	1	2	0	0	0	0
gene-KPHS_01380	2	2	4	4	2	1
gene-KPHS_01390	4	0	1	3	0	0
gene-KPHS_01400	3	3	0	0	0	3
gene-KPHS_01410	0	1	1	1	1	3
gene-KPHS_01420	0	0	1	2	1	1
gene-KPHS_01430	5	2	4	5	2	3
gene-KPHS_01440	64	71	64	27	53	29
gene-KPHS_01450	5	7	6	4	5	7
gene-KPHS_01460	11	5	9	11	7	5
gene-KPHS_01470	6	3	0	3	1	3
gene-KPHS_01480	1	4	3	2	2	3
gene-KPHS_01490	1	0	0	1	6	1
